codigo	mediaOperacoes90Dias	uf	cidade
111	27	RS	OSORIO
344	27	RS	SAO BORJA
516	27	RS	BOQUEIRAO DO LEAO
7	27	RS	PORTO XAVIER
36	27	RS	ITAQUI
239	27	PR	CASCAVEL
34	26	RS	CAMPINA DAS MISSOES
537	26	SC	IPORA DO OESTE
450	26	RS	LAVRAS DO SUL
149	26	RS	TRIUNFO
273	26	SC	SAO BENTO DO SUL
419	26	SC	ABELARDO LUZ
338	26	RS	TERRA DE AREIA
133	26	RS	SAO PEDRO DO SUL
427	26	RS	CAMBARA DO SUL
445	26	RS	CRISTAL
182	26	RS	PELOTAS
195	26	RS	BAGE
197	26	RS	ERECHIM
425	26	PR	CAMPO MOURAO
151	25	RS	MINAS DO LEAO
501	25	PR	CASCAVEL
647	25	PR	CONGONHINHAS
14	25	RS	SANTA ROSA
26	25	RS	SANTO AUGUSTO
223	25	RS	LAGOA VERMELHA
340	25	RS	VACARIA
532	25	PR	RONCADOR
17	25	RS	BOA VISTA DO BURICA
231	25	RS	VERANOPOLIS
40	25	SC	CONCORDIA
101	25	RS	SAO SEBASTIAO DO CAI
440	25	PR	CIANORTE
146	25	RS	BUTIA
190	25	RS	BAGE
196	25	RS	GETULIO VARGAS
420	25	MS	ELDORADO
569	25	PR	RESERVA
170	25	RS	SAO VICENTE DO SUL
227	25	SC	CHAPECO
43	24	RS	URUGUAIANA
316	24	RS	Entre-Ijuís
356	24	PR	MARMELEIRO
31	24	RS	SARANDI
364	24	RS	AMETISTA DO SUL
75	24	RS	TAPEJARA
602	24	RS	SERTAO SANTANA
362	24	PR	GUAIRA
192	24	RS	ROLANTE
39	24	RS	IJUI
98	24	RS	FARROUPILHA
343	24	RS	FARROUPILHA
323	24	RS	PLANALTO
658	23	PR	IRETAMA
373	23	RS	ARROIO DO SAL
20	23	RS	IJUI
148	23	RS	CHARQUEADAS
441	23	PR	TOLEDO
587	23	PR	FOZ DO IGUACU
678	23	RS	REDENTORA
496	23	PR	S TEREZINHA I.
226	23	RS	SANTA MARIA
557	23	MS	FATIMA DO SUL
41	23	RS	SAO MARTINHO
233	23	PR	UNIAO DA VITORIA
265	23	RS	Arroio Grande
430	23	PR	UMUARAMA
64	23	RS	SANTA MARIA
105	23	RS	NOVA HARTZ
171	23	RS	SANTO ANTONIO DAS MISSOES
10	23	RS	SAO PAULO DAS MISSOES
106	23	RS	ESTANCIA VELHA
128	23	RS	ESPUMOSO
522	22	SC	CRICIUMA
548	22	PR	JOAQUIM TAVORA
631	22	PR	DOURADINA
452	22	PR	PRUDENTOPOLIS
5	22	RS	CANDIDO GODOI
367	22	PR	MANGUEIRINHA
374	22	RS	ALECRIM
549	22	SC	URUBICI
562	22	PR	INACIO MARTINS
35	22	RS	TAPERA
188	22	RS	PINHEIRO MACHADO
585	22	SP	PANORAMA
109	22	RS	CANOAS
202	22	RS	DOIS IRMAOS
406	22	SC	RIO NEGRINHO
529	22	RS	ERVAL SECO
153	21	RS	AGUDO
118	21	RS	PORTAO
337	21	SC	ARARANGUÁ
465	21	PR	RIO AZUL
435	21	RS	BARRA DO RIBEIRO
607	21	PR	MOREIRA SALES
412	21	RS	ARROIO DOS RATOS
649	21	MS	TRES LAGOAS
4	21	RS	CERRO LARGO
117	21	RS	SAO LEOPOLDO
609	21	PR	TIJUCAS DO SUL
135	21	RS	TORRES
318	21	SC	Dionísio Cerqueira
328	21	PR	STO ANT DO SUDOESTE
292	21	RS	Fontoura Xavier
559	21	SP	IGARACU DO TIETE
667	21	RS	CERRO GRANDE DO SUL
18	21	RS	CONSTANTINA
154	21	RS	SANTA CRUZ DO SUL
247	21	RS	Pedro Osório
353	20	PR	CANDOI
666	20	PR	TURVO
112	20	RS	ALEGRETE
372	20	PR	MARECHAL CANDIDO RONDON
596	20	PR	NOVA SANTA ROSA
285	20	RS	Palmares do Sul
526	20	PR	MISSAL
61	20	RS	BOSSOROCA
413	20	RS	MONTENEGRO
422	20	SC	CAPIVARI DE BAIXO
453	20	PR	CHOPINZINHO
519	20	PR	TAPEJARA
595	20	PR	MATELANDIA
358	20	RS	MOSTARDAS
512	20	PR	CASTRO
139	20	RS	LAJEADO
351	20	RS	SANTANA DA BOA VISTA
438	20	PR	PARANAVAI
653	20	MS	ITAPORA
66	20	RS	GRAVATAI
625	19	SP	PIRAJUI
601	19	PR	PRIMEIRO DE MAIO
113	19	RS	TRAMANDAI
330	19	PR	CORBELIA
459	19	PR	RIO NEGRO
536	19	PR	IMBITUVA
289	19	RS	Antônio Prado
433	19	PR	CAFELANDIA
491	19	RS	SAO NICOLAU
161	19	RS	TEUTONIA
270	19	RS	TAPES
284	19	RS	CAXIAS DO SUL
349	19	RS	GUAIBA
467	19	SC	PONTE SERRADA
499	19	PR	NOVA LARANJEIRAS
592	19	PR	SENGES
673	19	RS	HERVAL
131	19	RS	NOVA PRATA
136	19	RS	NOVA PETROPOLIS
322	19	RS	BARROS CASSAL
473	19	SC	HERVAL D'OESTE
540	19	SP	BASTOS
97	19	RS	GUAIBA
503	19	PR	IPORA
520	19	PR	SANTO ANTONIO DA PLATINA
208	19	SC	XAXIM
219	19	RS	RIO GRANDE
566	19	PR	PIRAI DO SUL
577	19	PR	SANTA MARIA DO OESTE
11	19	RS	GUARANI DAS MISSOES
269	18	SC	MAFRA
274	18	PR	Palmas
207	18	SC	MARAVILHA
209	18	RS	IGREJINHA
518	18	PR	TELEMACO BORBA
580	18	RS	CAPELA DE SANTANA
410	18	SC	SANTA CECILIA
418	18	RS	TAQUARA
489	18	PR	PITANGA
593	18	SP	GARCA
600	18	PR	PEABIRU
626	18	SC	CAPINZAL
657	18	PR	CEU AZUL
68	18	RS	PORTO LUCENA
416	18	PR	LARANJEIRAS DO SUL
495	18	PR	ASTORGA
509	18	SC	SOMBRIO
38	18	RS	DOUTOR MAURICIO CARDOSO
110	18	RS	CACHOEIRINHA
107	18	RS	VIAMAO
275	18	SC	São Miguel do Oeste
291	18	RS	PELOTAS
563	18	PR	TERRA RICA
221	18	RS	NONOAI
287	18	RS	SAO GABRIEL
655	18	PR	TEIXEIRA SOARES
62	18	RS	AUGUSTO PESTANA
272	18	RS	Arvorezinha
147	18	RS	SAO JERONIMO
152	17	RS	PANTANO GRANDE
630	17	RS	CANDIOTA
544	17	PR	LOANDA
555	17	MS	ITAQUIRAI
217	17	RS	ARROIO DO TIGRE
684	17	PR	FLORESTA
249	17	SC	CANOINHAS
377	17	SC	FAXINAL DOS GUEDES
523	17	PR	PALMEIRA
201	17	RS	NOVO HAMBURGO
240	17	PR	CORONEL VIVIDA
314	17	RS	Feliz
583	17	SP	TUPI PAULISTA
402	17	SC	SEARA
478	17	PR	LAPA
615	17	PR	TUPASSI
629	17	SP	AGUDOS
663	17	PR	CATANDUVAS
130	17	RS	RESTINGA SECA
368	17	PR	CLEVELANDIA
375	17	RS	GENERAL CAMARA
381	17	PR	CANTAGALO
591	17	PR	SANTA FE
58	17	RS	HUMAITA
